Date,Day-of Toronto Wholesale Gasoline,Prior Day NY Harbor Spot,Day-of Toronto less Prior Day NY Harbor,Day-of Thunder Bay Wholesale Gasoline,Prior Day Edmonton Spot,Day-of Thunder Bay less Prior Day Edmonton
6/25/2018,83.5,,,0,,
6/26/2018,82.8,70.3,12.5,0,0,0
6/27/2018,83.4,70.9,12.5,0,0,0
6/28/2018,85.6,72.6,13,0,0,0
6/29/2018,85.3,72.6,12.7,0,0,0
7/2/2018,85.3,73.6,11.7,0,0,0
7/3/2018,86.1,72.4,13.7,0,0,0
7/4/2018,84.7,72.7,12,0,0,0
7/5/2018,84.7,72.6,12.1,0,0,0
7/6/2018,84.8,73.1,11.7,0,0,0
7/9/2018,83.9,71.7,12.2,0,0,0
7/10/2018,85.2,73.1,12.1,0,0,0
7/11/2018,85.6,73.6,12,0,0,0
7/12/2018,82.3,70.8,11.5,0,0,0
7/13/2018,82.8,71,11.8,0,0,0
7/16/2018,84,71.9,12.1,0,0,0
7/17/2018,80.3,68.5,11.8,0,0,0
7/18/2018,81.4,69.2,12.2,0,0,0
7/19/2018,82,70.4,11.6,0,0,0
7/20/2018,82.8,70.7,12.1,0,0,0
7/23/2018,83.1,70.8,12.3,0,0,0
7/24/2018,83.7,72,11.7,0,0,0
7/25/2018,84.1,72.2,11.9,0,0,0
7/26/2018,84.6,72.6,12,0,0,0
7/27/2018,85.9,73.8,12.1,0,0,0
7/30/2018,85.8,73.9,11.9,0,0,0
7/31/2018,85.6,73.3,12.3,0,0,0
8/1/2018,84.4,72.5,11.9,0,0,0
8/2/2018,82.8,71,11.8,0,0,0
8/3/2018,83.3,71.6,11.7,0,0,0
8/6/2018,83.3,71.6,11.7,0,0,0
8/7/2018,83.9,71.5,12.4,0,0,0
8/8/2018,85.5,73,12.5,0,0,0
8/9/2018,82.8,70.3,12.5,0,0,0
8/10/2018,81.6,69.9,11.7,0,0,0
8/13/2018,83.2,71.5,11.7,0,0,0
8/14/2018,82.1,71.3,10.8,0,0,0
8/15/2018,82.5,71.3,11.2,0,0,0
8/16/2018,80.3,69.8,10.5,0,0,0
8/17/2018,79.4,69.9,9.5,0,0,0
8/20/2018,78.9,69.4,9.5,0,0,0
8/21/2018,80.1,70.4,9.7,0,0,0
8/22/2018,80.9,70.4,10.5,0,0,0
8/23/2018,82.7,72.1,10.6,0,0,0
8/24/2018,82.5,72.3,10.2,0,0,0
8/27/2018,82.7,72.6,10.1,0,0,0
8/28/2018,82.4,72.7,9.7,0,0,0
8/29/2018,81.2,71.6,9.6,0,0,0
8/30/2018,82,72.5,9.5,0,0,0
8/31/2018,83.4,74,9.4,0,0,0
9/3/2018,83.4,74.3,9.1,0,0,0
9/4/2018,83.5,74.3,9.2,0,0,0
9/5/2018,84,74.5,9.5,0,0,0
9/6/2018,83.7,72.4,11.3,0,0,0
9/7/2018,83.4,71.4,12,0,0,0
9/10/2018,81.2,71.8,9.4,0,0,0
9/11/2018,78.7,70.3,8.4,0,0,0
9/12/2018,79.3,72.4,6.9,0,0,0
9/13/2018,79.2,72.4,6.8,0,0,0
9/14/2018,77.8,70.6,7.2,0,0,0
9/17/2018,77.8,70,7.8,0,0,0
9/18/2018,74.1,70.1,4,0,0,0
9/19/2018,75.1,71.5,3.6,0,0,0
9/20/2018,75.1,71.7,3.4,0,0,0
9/21/2018,74.8,70.9,3.9,0,0,0
9/24/2018,75.1,71,4.1,0,0,0
9/25/2018,76.4,72.6,3.8,0,0,0
9/26/2018,76.9,73,3.9,0,0,0
9/27/2018,76.7,73,3.7,0,0,0
9/28/2018,77.8,73.9,3.9,0,0,0
10/1/2018,77.8,73.8,4,0,0,0
10/2/2018,78.4,74.2,4.2,0,0,0
10/3/2018,78.9,74.6,4.3,0,0,0
10/4/2018,79.2,75.2,4,0,0,0
10/5/2018,78.5,74.6,3.9,0,0,0
10/8/2018,78.5,74.2,4.3,0,0,0
10/9/2018,77.7,74.3,3.4,0,0,0
10/10/2018,77.5,73.9,3.6,0,0,0
10/11/2018,75.7,72.1,3.6,0,0,0
10/12/2018,72.8,69.4,3.4,0,0,0
10/15/2018,73,69.7,3.3,0,0,0
10/16/2018,72.8,69.4,3.4,0,0,0
10/17/2018,73.8,70.4,3.4,0,0,0
10/18/2018,72,68.9,3.1,0,0,0
10/19/2018,71.5,67.5,4,0,0,0
10/22/2018,72.5,68.9,3.6,0,0,0
10/23/2018,72.3,68.7,3.6,0,0,0
10/24/2018,69.8,66.2,3.6,0,0,0
10/25/2018,68.9,64.5,4.4,0,0,0
10/26/2018,68.8,65,3.8,0,0,0
10/29/2018,69.1,65.8,3.3,0,0,0
10/30/2018,69.6,65.7,3.9,0,0,0
10/31/2018,69.7,65.3,4.4,0,0,0
11/1/2018,69.1,63.6,5.5,0,0,0
11/2/2018,67.4,61.5,5.9,0,0,0
11/5/2018,67.2,61,6.2,0,0,0
11/6/2018,66.4,60.3,6.1,0,0,0
11/7/2018,66.7,60.9,5.8,0,0,0
11/8/2018,65.2,59.2,6,0,0,0
11/9/2018,65.2,59.4,5.8,0,0,0
11/12/2018,64.9,58.5,6.4,0,0,0
11/13/2018,65.4,58.7,6.7,0,0,0
11/14/2018,62.2,55.9,6.3,0,0,0
11/15/2018,62.9,56.6,6.3,0,0,0
11/16/2018,62.4,56.5,5.9,0,0,0
11/19/2018,63,57.3,5.7,0,0,0
11/20/2018,63.2,57.3,5.9,0,0,0
11/21/2018,60.4,54.9,5.5,0,0,0
11/22/2018,61,55.2,5.8,0,0,0
11/23/2018,61,54.9,6.1,0,0,0
11/26/2018,56.8,55,1.8,0,0,0
11/27/2018,58.6,52.9,5.7,0,0,0
11/28/2018,58,52.7,5.3,0,0,0
11/29/2018,57.1,51.4,5.7,0,0,0
11/30/2018,59,53.4,5.6,0,0,0
12/3/2018,58.5,53.1,5.4,0,0,0
12/4/2018,58.6,53.1,5.5,0,0,0
12/5/2018,58.9,53,5.9,0,0,0
12/6/2018,59.6,53.8,5.8,0,0,0
12/7/2018,59.2,54,5.2,0,0,0
12/10/2018,60.5,54.6,5.9,0,0,0
12/11/2018,58.7,53.1,5.6,0,0,0
12/12/2018,59.3,53,6.3,0,0,0
12/13/2018,58.3,52.3,6,0,0,0
12/14/2018,59.9,54.6,5.3,0,0,0
12/17/2018,58.3,53,5.3,0,0,0
12/18/2018,57.5,51.6,5.9,0,0,0
12/19/2018,55.9,49.8,6.1,0,0,0
12/20/2018,57.2,50.5,6.7,0,0,0
12/21/2018,55.2,49.3,5.9,0,0,0
12/24/2018,55.1,48.7,6.4,0,0,0
12/25/2018,55.1,48.8,6.3,0,0,0
12/26/2018,55.1,48.8,6.3,0,0,0
12/27/2018,52.7,50.1,2.6,0,0,0
12/28/2018,54.9,49.6,5.3,0,0,0
12/31/2018,55.4,49.3,6.1,0,0,0
1/1/2019,55.4,49.3,6.1,0,0,0
1/2/2019,55.6,49.3,6.3,0,0,0
1/3/2019,55.5,50.1,5.4,0,0,0
1/4/2019,55.8,50.1,5.7,0,0,0
1/7/2019,55.5,49.9,5.6,0,0,0
1/8/2019,54.8,49.1,5.7,0,0,0
1/9/2019,55.5,49.6,5.9,0,0,0
1/10/2019,56.8,51.6,5.2,0,0,0
1/11/2019,57.1,51.5,5.6,0,0,0
